name,canon_smiles,dose_mg,cmax_mg_L,log_cmax_per_dose,n_studies,tmax_h,thalf_h,auc_ng_h_ml,f_pct,formulation,is_prodrug,in_holdout
Lecozotan,C[C@H](CN(C(=O)c1ccc(C#N)cc1)c1ccccn1)N1CCN(c2cccc3c2OCCO3)CC1,10.0,0.4758,-1.3225755622987525,1,0.79,8.2,3203.0,,capsule,False,False
isoxsuprine,C[C@H](COc1ccccc1)N[C@H](C)[C@@H](O)c1ccc(O)cc1,90.0,0.1146999999999999,-2.8946790915380576,1,1.9,10.1,1266.78,,tablet ER,False,False
captopril,C[C@H](CS)C(=O)N1CCC[C@H]1C(=O)O,100.0,0.569945487393312,-2.244166680566844,2,0.91,1.005,723.22,70.0,tablet,False,False
zofenopril,C[C@H](CSC(=O)c1ccccc1)C(=O)N1C[C@@H](Sc2ccccc2)C[C@H]1C(=O)O,60.0,0.0911599999999999,-2.818346933875306,1,0.88,0.72,156.92,,tablet,False,False
silodosin,C[C@H](Cc1cc2c(c(C(N)=O)c1)N(CCCO)CC2)NCCOc1ccccc1OCC(F)(F)F,12.0,0.09407,-2.10573010202269,1,2.0,5.9,485.01,32.0,capsule,False,False
Taranabant,C[C@H](NC(=O)C(C)(C)Oc1ccc(C(F)(F)F)cn1)[C@@H](Cc1ccc(Cl)cc1)c1cccc(C#N)c1,100.0,0.23965,-2.620422566672193,1,2.0,54.8,3070.13,,capsule,False,False
safinamide,C[C@H](NCc1ccc(OCc2cccc(F)c2)cc1)C(N)=O,100.0,0.8202,-2.086080235048534,1,1.5,23.6,22500.0,,tablet,False,False
sapropterin,C[C@H](O)[C@H](O)[C@H]1CNc2nc(N)[nH]c(=O)c2N1,730.0,0.0841,-3.9385268643225437,1,2.77,3.67,559.0,,tablet,False,False
alvimopan,C[C@H]1CN(C[C@H](Cc2ccccc2)C(=O)NCC(=O)O)CC[C@@]1(C)c1cccc(O)c1,24.0,0.0329099999999999,-2.862883359417234,1,2.1,10.0,116.9,6.0,capsule,False,False
lorcaserin,C[C@H]1CNCCc2ccc(Cl)cc21,10.0,0.0355436057426465,-2.4492385170286837,3,2.0,11.0,501.0,,,False,False
cabotegravir,C[C@H]1CO[C@@H]2Cn3cc(C(=O)NCc4ccc(F)cc4F)c(=O)c(O)c3C(=O)N12,30.0,3.349940297975473,-0.9520841875308332,2,2.5,40.55,141500.0,,tablet,False,False
levofloxacin,C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,500.0,5.413088823258426,-1.9655248508576482,4,1.3,6.55,47700.0,99.0,tablet,False,False
