drug,smiles,dose_mg,cmax_mg_L,source,tier
tramadol er,CN(C)CC1CCCCC1(C2=CC(=CC=C2)OC)O.Cl,100.0,0.335,fda_expanded,fda_expanded
tranexamic acid,C1CC(CCC1CN)C(=O)O,650.0,13.83,gold,gold
trospium,C1CC[N+]2(C1)C3CCC2CC(C3)OC(=O)C(C4=CC=CC=C4)(C5=CC=CC=C5)O,60.0,0.002,fda_expanded,fda_expanded
upadacitinib,CCC1CN(CC1C2=CN=C3N2C4=C(NC=C4)N=C3)C(=O)NCC(F)(F)F,15.0,0.0316,fda_expanded,fda_expanded
valacyclovir,CC(C)C(C(=O)OCCOCN1C=NC2=C1N=C(NC2=O)N)N,20.0,14.4,fda_expanded,fda_expanded
valganciclovir,CC(C)C(C(=O)OCC(CO)OCN1C=NC2=C1N=C(NC2=O)N)N,900.0,58.0,gold,gold
venlafaxine,CN(C)CC(C1=CC=C(C=C1)OC)C2(CCCCC2)O,75.0,0.15,fda_expanded,fda_expanded
verapamil,CC(C)C(CCCN(C)CCC1=CC(=C(C=C1)OC)OC)(C#N)C2=CC(=C(C=C2)OC)OC,180.0,0.0778,fda_expanded,fda_expanded
vilazodone,C1CN(CCN1CCCCC2=CNC3=C2C=C(C=C3)C#N)C4=CC5=C(C=C4)OC(=C5)C(=O)N,80.0,0.156,fda_expanded,fda_expanded
vonoprazan,CNCC1=CN(C(=C1)C2=CC=CC=C2F)S(=O)(=O)C3=CN=CC=C3,10.0,0.0117,fda_expanded,fda_expanded
vorasidenib,CC(C(F)(F)F)NC1=NC(=NC(=N1)C2=NC(=CC=C2)Cl)NC(C)C(F)(F)F,200.0,0.133,fda_expanded,fda_expanded
voriconazole,CC(C1=NC=NC=C1F)C(CN2C=NC=N2)(C3=C(C=C(C=C3)F)F)O,400.0,3.13,fda_expanded,fda_expanded
warfarin,CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,10.0,1.2783,gold_clinical,gold_clinical
zolpidem,CC1=CC=C(C=C1)C2=C(N3C=C(C=CC3=N2)C)CC(=O)N(C)C,12.5,0.134,gold,gold
zonisamide,C1=CC=C2C(=C1)C(=NO2)CS(=O)(=O)N,300.0,2.0,gold,gold
