canon_smiles,dose_mg,cmax_mg_L,log_cmax_per_dose,name,n_studies
CC(C)OC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@H](n2ccc(=O)[nH]c2=O)[C@](C)(F)[C@@H]1O)Oc1ccccc1,400.0,0.8981843611113518,-2.6486945023271313,sofosbuvir,3
CCOCCn1c(C2CCN(CCc3ccc(C(C)(C)C(=O)O)cc3)CC2)nc2ccccc21,20.0,0.24018138886995385,-1.9204906438220262,bilastine,3
NC1=NCC2c3ccccc3Cc3ccccc3N12,20.0,0.013024478085686048,-3.1862696663064645,epinastine,3
CCOc1cc(CC(=O)N[C@@H](CC(C)C)c2ccccc2N2CCCCC2)ccc1C(=O)O,2.0,0.026143821393901458,-1.8836609277604048,repaglinide,3
CCOc1ccc(Cc2cc([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)ccc2Cl)cc1,10.0,0.14532876964786473,-1.8376484031657698,dapagliflozin,3
CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1[C@H](C(=O)O)C[C@@H]2CCC[C@@H]21,5.0,0.01342219533900699,-2.571146449334548,ramipril,3
C[C@]12CCC(=O)C=C1C=C[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@@]21CCC(=O)O1,200.0,0.26126193674454945,-2.8839538536975553,canrenone,3
OC[C@H]1O[C@@H](c2ccc(Cl)c(Cc3ccc(O[C@H]4CCOC4)cc3)c2)[C@H](O)[C@@H](O)[C@@H]1O,50.0,0.5570775560151967,-1.9530543427265181,empagliflozin,3
COc1cc2nccc(Oc3ccc(NC(=O)Nc4cc(C)on4)c(Cl)c3)c2cc1OC,1.5,0.020964129239101757,-1.8546144306898968,tivozanib,3
C=CC(=O)N1CC[C@H](n2nc(C#Cc3cc(OC)cc(OC)c3)c3c(N)ncnc32)C1,20.0,0.14041589471647908,-2.153613724074302,futibatinib,3
COc1cc2nccc(Oc3ccc(NC(=O)C4(C(=O)Nc5ccc(F)cc5)CC4)cc3)c2cc1OC,140.0,0.5570136607350469,-2.4002621893212086,cabozantinib,3
C[C@@H]1CN(c2c(F)c(N)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)C[C@H](C)N1,400.0,1.2159058315234597,-2.5171600499713143,sparfloxacin,3
O=c1[nH]c2ccccc2n1CCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1,20.0,0.03718329114336906,-2.7306821685350755,domperidone,3
O=C1[C@H](CC[C@H](O)c2ccc(F)cc2)[C@@H](c2ccc(O)cc2)N1c1ccc(F)cc1,10.0,0.004235042413781531,-3.373142235869511,ezetimibe,3
